Predicate	RelCount	IrrelCount
total	128171	297167
http://dbpedia.org/ontology/administrativeCollectivity	67	9
http://dbpedia.org/ontology/administrativeDistrict	62	4
http://dbpedia.org/ontology/affiliation	14	195
http://dbpedia.org/ontology/alumni	1	9
http://dbpedia.org/ontology/anthem	1	125
http://dbpedia.org/ontology/archipelago	83	4
http://dbpedia.org/ontology/architect	1	19
http://dbpedia.org/ontology/arrondissement	121	60
http://dbpedia.org/ontology/associationOfLocalGovernment	154	2
http://dbpedia.org/ontology/athletics	0	24
http://dbpedia.org/ontology/borough	54	2
http://dbpedia.org/ontology/builder	0	13
http://dbpedia.org/ontology/campus	37	17
http://dbpedia.org/ontology/canton	62	227
http://dbpedia.org/ontology/capital	197	5
http://dbpedia.org/ontology/ceremonialCounty	40	2
http://dbpedia.org/ontology/chancellor	0	52
http://dbpedia.org/ontology/city	5189	262
http://dbpedia.org/ontology/colour	1	29
http://dbpedia.org/ontology/councilArea	27	8
http://dbpedia.org/ontology/country	292	81
http://dbpedia.org/ontology/county	281	16
http://dbpedia.org/ontology/currency	0	142
http://dbpedia.org/ontology/denomination	4	13
http://dbpedia.org/ontology/department	176	6
http://dbpedia.org/ontology/district	1179	500
http://dbpedia.org/ontology/division	15	18
http://dbpedia.org/ontology/engineer	1	9
http://dbpedia.org/ontology/ethnicGroup	4	106
http://dbpedia.org/ontology/federalState	16	2
http://dbpedia.org/ontology/firstAscentPerson	3	181
http://dbpedia.org/ontology/foundedBy	2	58
http://dbpedia.org/ontology/foundingPerson	2	65
http://dbpedia.org/ontology/frazioni	412	666
http://dbpedia.org/ontology/governingBody	2	14
http://dbpedia.org/ontology/government	3	9
http://dbpedia.org/ontology/governmentPosition	33	0
http://dbpedia.org/ontology/governmentRegion	8	12
http://dbpedia.org/ontology/governmentType	8	161
http://dbpedia.org/ontology/grades	0	22
http://dbpedia.org/ontology/head	5	36
http://dbpedia.org/ontology/highestPlace	14	3
http://dbpedia.org/ontology/highestPosition	38	0
http://dbpedia.org/ontology/highestRegion	10	5
http://dbpedia.org/ontology/highestState	26	7
http://dbpedia.org/ontology/intercommunality	21	281
http://dbpedia.org/ontology/isPartOf	10544	1596
http://dbpedia.org/ontology/jointCommunity	100	1
http://dbpedia.org/ontology/language	2	104
http://dbpedia.org/ontology/largestCity	141	8
http://dbpedia.org/ontology/largestSettlement	16	1
http://dbpedia.org/ontology/leader	0	14
http://dbpedia.org/ontology/leaderName	68	3037
http://dbpedia.org/ontology/leaderParty	4	200
http://dbpedia.org/ontology/lieutenancyArea	39	7
http://dbpedia.org/ontology/localAuthority	55	21
http://dbpedia.org/ontology/locatedInArea	1044	125
http://dbpedia.org/ontology/location	5443	654
http://dbpedia.org/ontology/lowestState	15	3
http://dbpedia.org/ontology/majorIsland	39	5
http://dbpedia.org/ontology/mayor	0	123
http://dbpedia.org/ontology/metropolitanBorough	41	1
http://dbpedia.org/ontology/mountainRange	193	317
http://dbpedia.org/ontology/municipality	190	17
http://dbpedia.org/ontology/officialLanguage	1	54
http://dbpedia.org/ontology/operator	366	409
http://dbpedia.org/ontology/origin	12	4
http://dbpedia.org/ontology/owner	533	215
http://dbpedia.org/ontology/parentMountainPeak	416	16
http://dbpedia.org/ontology/part	1348	306
http://dbpedia.org/ontology/president	1	72
http://dbpedia.org/ontology/principalArea	46	1
http://dbpedia.org/ontology/province	129	15
http://dbpedia.org/ontology/rector	0	20
http://dbpedia.org/ontology/region	280	60
http://dbpedia.org/ontology/regionalLanguage	1	13
http://dbpedia.org/ontology/religion	4	45
http://dbpedia.org/ontology/rival	204	26
http://dbpedia.org/ontology/river	61	43
http://dbpedia.org/ontology/riverMouth	17	3
http://dbpedia.org/ontology/saint	35	577
http://dbpedia.org/ontology/schoolBoard	8	24
http://dbpedia.org/ontology/schoolPatron	0	10
http://dbpedia.org/ontology/sourceCountry	14	0
http://dbpedia.org/ontology/sport	0	28
http://dbpedia.org/ontology/state	100	42
http://dbpedia.org/ontology/tenant	6	310
http://dbpedia.org/ontology/thumbnail	0	53385
http://dbpedia.org/ontology/timeZone	10	96
http://dbpedia.org/ontology/twinCity	247	24
http://dbpedia.org/ontology/twinCountry	60	11
http://dbpedia.org/ontology/type	27	508
http://dbpedia.org/ontology/viceChancellor	0	26
http://dbpedia.org/ontology/wikiPageDisambiguates	869	977
http://dbpedia.org/ontology/wikiPageRedirects	2348	64
http://dbpedia.org/property/accreditation	1	31
http://dbpedia.org/property/adjacentcomuni	24	0
http://dbpedia.org/property/adjcaentcomuni	10	0
http://dbpedia.org/property/admCtrOf	11	37
http://dbpedia.org/property/admDistrictJur	2	27
http://dbpedia.org/property/affiliation	9	48
http://dbpedia.org/property/affiliations	12	150
http://dbpedia.org/property/after	145	4
http://dbpedia.org/property/age	0	19
http://dbpedia.org/property/anticlockwise	34	0
http://dbpedia.org/property/archipelago	59	3
http://dbpedia.org/property/architect	0	16
http://dbpedia.org/property/area	8	3
http://dbpedia.org/property/areaCode	14	20
http://dbpedia.org/property/areaCodeType	2	34
http://dbpedia.org/property/arrondissement	47	53
http://dbpedia.org/property/athletics	2	60
http://dbpedia.org/property/back	22	0
http://dbpedia.org/property/before	155	2
http://dbpedia.org/property/bird	0	18
http://dbpedia.org/property/blank1Info	94	64
http://dbpedia.org/property/blank1InfoSec	7	99
http://dbpedia.org/property/blank1Name	0	30
http://dbpedia.org/property/blank1NameSec	2	11
http://dbpedia.org/property/blank2Info	9	116
http://dbpedia.org/property/blank2InfoSec	5	38
http://dbpedia.org/property/blank2Name	0	21
http://dbpedia.org/property/blank3Info	6	24
http://dbpedia.org/property/blank3InfoSec	1	26
http://dbpedia.org/property/blank3Name	0	12
http://dbpedia.org/property/blank4Info	3	19
http://dbpedia.org/property/blank5Info	2	17
http://dbpedia.org/property/blank6Info	1	12
http://dbpedia.org/property/blankInfo	23	113
http://dbpedia.org/property/blankInfoSec	12	73
http://dbpedia.org/property/blankName	0	54
http://dbpedia.org/property/blankNameSec	1	25
http://dbpedia.org/property/c	0	10
http://dbpedia.org/property/callingCode	9	161
http://dbpedia.org/property/campus	14	9
http://dbpedia.org/property/canton	1	206
http://dbpedia.org/property/capital	180	4
http://dbpedia.org/property/caption	37	34
http://dbpedia.org/property/category	0	25
http://dbpedia.org/property/cctld	0	163
http://dbpedia.org/property/chancellor	0	37
http://dbpedia.org/property/city	1474	35
http://dbpedia.org/property/cityServed	3408	212
http://dbpedia.org/property/civilParish	402	21
http://dbpedia.org/property/classes	0	16
http://dbpedia.org/property/clockwise	33	0
http://dbpedia.org/property/colors	0	19
